1/7/2021:20:58:23 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:20:58:26 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:20:58:27 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:20:58:48 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:20:59:30 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:0:30 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:0:32 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:0:37 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:1:36 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:1:49 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:2:45 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:3:01 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:10:06 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:10:20 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:10:51 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:11:16 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:11:25 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:11:43 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:19:04 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:19:37 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
